title,description
"손흥민 인종차별한 첼시 팬 징계에 서경덕 ""좋은 선례""","기사내용 요약 첼시 구단, 손흥민 인종차별한 팬에 무기한 경기장 출입금지 잉글랜드 프로축구 프리미어리그(EPL)에서 뛰는 손흥민(30·토트넘)에 인종차별 한 팬에 무기한 경기장 출입금지 조처를 내린 첼시 구단에... "
요리스-손흥민 또 한 번의 작은 충돌? 현지 기자가 공개,"2019년 경기 중 한 차례 크게 충돌했던 적이 있는 손흥민과 골키퍼 위고 요리스(토트넘)가 울버햄튼전... 뛰어다니는 손흥민에게 스로인을 받으러 오라고 야단치듯 말했다. 손흥민이 이에 침착하라고 했다""고 상황을... "
"손흥민, 주장 요리스와 또 경기 중 언쟁","잉글랜드 프로축구 프리미어리그 토트넘 홋스퍼의 손흥민(30)이 팀 동료인 주전 골키퍼인 위고 요리스(36·프랑스)와 경기 중 언쟁을 벌였다. 영국 축구 전문 매체 풋볼 런던은 21일 오전(한국시간) ""손흥민과 요리스가... "
손흥민 안 풀리네... 3경기째 '침묵'에 동료와 언쟁까지,토트넘 손흥민(30)이 세 경기째 무득점에 그치며 새 시즌 초반 '득점왕'의 위용을 찾지 못하고 있다. 손흥민은 20일(한국시간) 영국 런던 토트넘 훗스퍼 스타디움에서 열린 울버햄튼과의 2022~23시즌 잉글랜드 프리미어리그... 
"""왜 SON한테만?"" 요리스-손흥민, 경기 중 '또 충돌', 왜?",손흥민과 요리스(이상 토트넘)이 또 다시 충돌했다. 21일(이하 한국시각) 영국 축구 전문 매체 풋볼 런던은 '손흥민과 요리스가 울버햄턴전에서 서로 언쟁을 벌였다'고 보도했다. 토트넘은 20일 영국 런던 토트넘홋스퍼... 
"""손흥민, 맨시티-리버풀에서도 주전 공격수 가능""…英해설가 신뢰",손흥민이 올 시즌 프리미어리그 초반 3경기에서 득점포를 가동하지 못했지만 영국 현지서 변함없는 신뢰감을 나타냈다. 영국 TBR은 22일(한국시간) 손흥민에 대한 오언 하그리브스의 인터뷰 내용을 소개했다. 현역시절... 
2년 동안 19㎝ '폭풍 성장'으로 이어간 '차세대 손흥민' 꿈,'차세대 손흥민'을 꿈 꿨던 A(12)군은 초등학교 고학년으로 접어들면서 축구 선수의 꿈을 접어야 할 지 고민에 빠졌다. 또래 친구들과 달리 저학년 때 수준에 머물던 키 때문이었다. 병원에선 저신장 아동의 빠른... 
"“아직도 이런 바보가 있네”…첼시, 손흥민 인종차별한 팬 무기한 출입금지",잉글랜드 프리미어리그(EPL) 경기 중 손흥민 선수(30·토트넘)에게 인종 차별을 한 첼시 팬이 무기한 경기장... 후반전에서 손흥민이 코너킥을 차러 가던 도중 관중석의 한 팬이 눈을 옆으로 찢는 동작을 취했다. 이는... 
"손흥민 또 인종차별 피해…서경덕 ""아시아인 전체 모독 행위""","처벌해야"" 손흥민 선수가 잉글랜드 프리미어리그(EPL) 경기 중 또 인종차별 피해를 입어 서경덕 교수가 EPL 전 구단에 항의했다. 스포츠 전문 매체 디애슬레틱은 18일(한국시간) ""EPL 첼시가 토트넘과의 경기에서 손흥민을... "
손흥민에 인종차별한 첼시 팬…결국 무기한 출입금지 징계,잉글랜드 프로축구 프리미어리그(EPL)에서 활약하는 손흥민(30·토트넘)에게 인종 차별을 한 팬에게 무기한... 당시 남성은 후반 30분 손흥민이 코너킥을 차기 위해 코너 플래그로 걸어가자 눈을 찢는 행위를 취했다.... 
손흥민 향해 인종차별 행위한 팬에 “무기한 출입 금지”,잉글랜드 프리미어리그(EPL) 첼시가 손흥민(30·토트넘)에게 인종차별 행위를 한 팬을 무기한 출입 금지... 경기에서 손흥민이 코너킥을 차러 이동하는 와중 관중석에서 상의를 탈의하고 눈을 찢는 행동을 했다. 이에 첼시... 
"토트넘 손흥민, 두 경기 연속 교체…제이미 오하라 ""행복해보이지 않았다""",손흥민 / 사진=손흥민 인스타그램 토트넘의 손흥민이 두 경기 연속 교체로 빠진 것에 대해 토트넘에서 뛰었던 제이미 오하라가 우려를 보였다. 지난 22일 스포티비뉴스의 보도에 따르면 오하라는 22일(한국 시간)... 
"요즘 ‘치달’이 없다... 득점왕 무게에 눌린 손흥민, 3경기째 침묵","올랐던 손흥민(30·토트넘)이 새 시즌 초반 고전 중이다. 손흥민은 20일 울버햄프턴전에서도 골 사냥에 실패, 개막 3연기 연속 침묵을 지켰다. 한국 선수가 뛰는 두 팀의 대결이었지만, 손흥민이 떠나고 5분 뒤 황희찬(26)이... "
"손흥민 향해 '눈 찢은' 첼시 팬 ""영구 출입금지""...서경덕 ""좋은 선례""","손흥민 선수를 향한 인종차별 행위에 대해 첼시 구단이 해당 팬을 영구 출입 금지 조치한 것과 관련, 서경덕... 앞서 스포츠 매체 디애슬래틱은 첼시가 지난 14일 토트넘전에서 손흥민을 향한 인종차별이 이뤄졌을 가능성을... "
"8경기째 침묵, 손흥민도 답답할 울버햄프턴 징크스",잉글랜드 프리미어리그(EPL) 득점왕 손흥민(30·토트넘)도 이상하게 안 풀리는 상대는 있다. 또 다른 국가대표... 측면 날개로 선발 출전한 손흥민이 후반 31분 교체될 때까지 부지런히 그라운드를 누볐으나 골은 터지지... 
"손흥민 향해 '눈 찢기 인종차별'한 첼시 팬, 경기장 무기한 출입 정지","영국의 프리미어 리그(EPL) 경기 도중 토트넘의 손흥민 선수에게 눈을 찢으며 인종차별 행위를 한 첼시팬이... 도중 손흥민 선수는 코너킥을 차기 위해 경기장 구석으로 이동했는데, 한 남성이 관중석에서 상의를 벗고 눈을... "
"손흥민, 주장 요리스와 경기 도중 언쟁 ‘관심 집중’",토트넘 손흥민(30)이 팀의 주장이자 주전 골키퍼인 위고 요리스(36·프랑스)와 또 경기 도중 언쟁을 벌였다. 영국 풋볼 런던은 21일 “손흥민과 요리스가 전날 열린 울버햄프턴과 경기에서 의견이 서로 맞지 않는 모습을... 
"엇갈린 명암의 손흥민과 케인, ‘인생 유전’ 실감[최규섭의 청축탁축(淸蹴濁...","잉글랜드 프리미어리그(EPL) 토트넘의 손흥민(30)과 해리 케인(29)은 ‘영혼의 짝꿍’으로 일컬어진다. 둘이... 1년 전과 정반대 양상 부닥친 손흥민, ‘새옹지마’ 되새기며 반전 다짐 손흥민은 야망을 부풀리며 2022... "
"손흥민 또 인종차별 당해…서경덕, EPL 전 구단에 강력처벌 요청",손흥민 선수가 잉글랜드 프리미어리그(EPL) 경기 중 또 인종차별 피해를 입어 서경덕 교수가 EPL 전 구단에 항의했습니다. 앞서 스포츠 매체 디애슬래틱은 EPL 첼시가 지난 14일 토트넘전에서 손흥민을 향한 인종차별이... 
손흥민·황희찬보다 빨랐다…세리에A 개막 2경기 만에 골 넣은 김민재,손흥민(토트넘)과 황희찬(울버햄튼)보다 더 빨랐다. '괴물' 김민재(나폴리)가 세리에A 2번째 경기 만에... 지난 시즌 잉글랜드 프리미어리그(EPL) 공동 득점왕에 오른 손흥민은 이번 시즌에는 아직 득점 없이 1도움만 기록... 
"손흥민-요리스 충돌 이유 공개…""경기 템포 올려야지""",손흥민(30)과 위고 요리스(35)가 울버햄튼전에서 언쟁을 했다. 요리스는 손흥민에게 빠른 경기 템포를 원했지만 손흥민은 천천히 풀어가길 원했다. 토트넘은 20일(한국시간) 영국 런던 토트넘 홋스퍼 스타디움에서... 
"""이런 바보 아직도 있네""…손흥민 인종차별한 팬 손절한 첼시",손흥민(30·토트넘)을 향해 ‘눈찢기’를 한 첼시 팬이 무기한 경기장 출입금지라는 철퇴를 맞았다.... 토트넘 공격수 손흥민이 코너킥을 차러 가던 도중 인종차별을 당했다. 관중석의 웃통을 벗은 한 첼시 팬이 손흥민을... 
"손흥민 향해 '눈 찢기' 인종차별 첼시팬, 결국 무기한 출입 금지 징계",잉글랜드 프로축구 프리미어리그(EPL)에서 활약하는 손흥민(30·토트넘)을 향해 인종 차별적 행위를 한... 당시 손흥민이 코너킥을 차기 위해 첼시 팬들 앞으로 이동했는데 한 첼시 팬이 눈을 찢는 행위를 했다. 이 동작은... 
"“손흥민 믿고 유료화 질렀더니” 욕만 엄청 먹다가, 이런일이",“손흥민 믿고 유료화했더니…결국 대성공” 국내 스포츠 온라인 동영상 스트리밍 서비스(OTT) ‘스포티비(SPOTV)’가 이른바 ‘손흥민 효과’로 함박웃음을 짓고 있다. 이달부터 영국 프로축구 프리미어리그의 손흥민... 
손흥민·황희찬보다 빠르다… 김민재 이탈리아 데뷔 골 터졌다,공격수로 잉글랜드 프리미어리그에 진출한 손흥민(토트넘)과 황희찬(울버햄프턴)보다 빠르게 득점포를... 지난 시즌 EPL 공동 득점왕에 오르며 세계 최고 골잡이 중 하나로 인정받은 손흥민은 3라운드까지 득점 없이... 
손흥민 노린 인종차별에 분노…첼시 “무관용 대응할 것”,잉글랜드 프리미어리그(EPL) 첼시가 토트넘전에서 손흥민을 향해 ‘눈을 찢는’ 인종차별 행위를 한 팬에게... 도중 손흥민이 코너킥을 차러 이동하다가 일부 홈팬의 인종차별 행위와 맞닥뜨렸다”고 보도했다. 실제로... 
"이강인, '그림 같은' 시즌 첫 도움…손흥민은 '침묵'","반면 토트넘 손흥민은 세 경기 연속 침묵을 이어가고 있습니다. 이다솜 기자입니다. 경기 시작과 동시에... "" 시즌 첫 골에 도전했던 손흥민. 후반 18분 회심의 오른발 슈팅이 골대를 강타합니다. 손흥민은 1분 뒤 세트피스... "
"손흥민 또 '눈 찢기' 당하자…""항의메일 돌렸다"" 서경덕 분노",나온 손흥민(토트넘)을 향한 인종차별에 대해 EPL 20개 전 구단에 항의메일을 보냈다고 밝혔다. 19일 서 교수는 자신의 인스타그램에 “EPL 20개 전 구단에 항의 메일을 보냈다. 이는 손흥민 뿐만이 아니라 아시아인 전체를... 
'아쉬운 75분' 손흥민 '황희찬 맞대결도 불발',◀ 앵커 ▶ 토트넘의 손흥민 선수가 공격포인트없이 후반 31분 교체됐습니다. 황희찬 선수와의 직접 맞대결도 아쉽게 무산됐습니다. 송기성 기자입니다. ◀ 리포트 ▶ 손흥민은 변함없이 선발 출전했습니다. 하지만... 
손흥민 '골대 강타'…코리안 더비는 불발,id=N1006867677 토트넘의 손흥민 선수는 골대에 막혀 아쉽게 첫 골 사냥에 실패했습니다. 황희찬과 시즌 첫 맞대결도 다음으로 미뤄졌습니다. 후반 18분 이 장면이 가장 아쉬웠습니다. 손흥민의 강력한 오른발 슛팅이... 
"손흥민, 요리스와 또 언쟁? 2년 전에도 충돌",잉글랜드 프리미어리그 토트넘 공격수 손흥민(30)이 경기 중 골키퍼 위고 요리스(36·프랑스)와 언쟁을 벌였다는 주장이 나왔다. 21일(한국시간) 풋볼런던은 “손흥민과 요리스의 의견 충돌이 있었다”고 보도했다. 토트넘... 
"""수비 좀 해"" 손흥민, 주장 요리스와 또 충돌","잉글랜드 프리미어리그(EPL) 토트넘 홋스퍼의 손흥민이 동료 골키퍼 위고 요리스와 수비 가담을 놓고 충돌했다. 영국 매체 '풋볼 런던'은 21일 ""손흥민과 요리스가 2022-2023 EPL 3라운드 울버햄튼과의 경기에서 의견... "
손흥민에 또 ‘눈 찢기’…언제까지 이럴 겁니까 [이슈픽],인종차별도 많이 당했다.” 지난달 스포츠 브랜드 아디다스가 마련한 팬미팅에서 손흥민(30·토트넘)이 꺼낸 이야기다. 어린 시절의 힘든 경험을 꿋꿋하게 견디며 아시아 선수 최초의 득점왕까지 오른 손흥민이지만... 
"손흥민 다가서자 눈 찢은 첼시 팬, 딱 걸렸다…""아직도 바보같은 사람들…무기...",잉글랜드 프리미어리그(EPL) 경기 중 손흥민 선수(30·토트넘)에게 인종 차별을 한 첼시 팬이 무기한 경기장... 지난 14일 런던 스탬퍼드 브리지에서 열린 첼시와 토트넘의 경기 후반전에서 손흥민이 코너킥을 차러 가던... 
"첼시, 손흥민 향해 '눈찢은' 팬 영구 출입금지...서경덕 ""인종차별 좋은 본보...","잉글랜드 프리미어리그(EPL) 토트넘 홋스퍼에서 활약 중인 손흥민에게 인종 차별을 한 팬이 첼시... 문제의 장면은 첼시와 토트넘의 경기 도중, 손흥민이 코너킥을 차기 위해 관중석과 가까운 곳으로 다가오자 눈을 찢는... "
"""요리스, 울버햄튼전서 손흥민 야단쳤다"" 영 언론 관심",손흥민과 위고 요리스(이상 토트넘)이 또 논쟁을 벌였다. 손흥민과 위고 요리스는 울버햄튼을 상대로 선발 출전했다. 측면 공격수로 출전한 손흥민은 적극적인 움직임을 선보였다. 전반서는 큰 활약을 펼치지 못했다.... 
"""SON vs 요리스 충돌? 손흥민은 대꾸 안했어"" 골드 기자가 본 해프닝","손흥민, 위고 요리스(이상 토트넘)가 또 부딪쳤다? 토트넘은 20일 오후 8시 30분(한국시간) 영국 런던의... 각각 공격수와 골키퍼로 선발 출전한 손흥민과 요리스는 경기 중에 잠시 대화를 나눴다. 요리스가 손흥민을... "
손흥민 슛 골대 강타… 1분뒤 케인이 결승골 쐈다,‘손-케 듀오’ 중 후반 28분 손흥민이 먼저 날린 회심의 오른발 슈팅이 골 포스트를 강타한 뒤 1분 만에 케인이 머리로 상대 골망을 흔들었다. 손흥민의 코너킥을 이반 페리시치가 백헤딩으로 연결하자 이를 문전에... 
"'손흥민 골대' 토트넘, 울버햄튼에 1-0 승리…황희찬 교체로 10분","기사내용 요약 '코리안 더비' 무산…손흥민 나간 이후 황희찬 교체 투입 손흥민, 선발 출전해 76분 출전 결승골 케인, EPL 단일 클럽 최다골 신기록…185골 [서울=뉴시스]박지혁 기자 = 잉글랜드 프로축구 프리미어리그(EPL)... "
손흥민·황희찬보다 먼저 터진 '괴물 수비수' 김민재의 데뷔골,지난 시즌 잉글랜드 프리미어리그(EPL) 득점왕에 오른 손흥민(토트넘)과 황희찬(울버햄프턴)도 나란히 도움 1개만 올리고 있다. 김민재는 수비수임에도 세트피스 상황에서 종종 득점을 올리는 선수다. K리그1 전북 현대... 
"""손흥민 행복해보이지 않았다""…토트넘 선배 걱정","손흥민(30)이 두 경기 연속 교체로 빠진 것에 대해 토트넘에서 뛰었던 제이미 오하라가 우려를 보였다. 오하라는 22일(한국시간) 토크스포츠에 출연해 ""손흥민은 교체 지시에 행복해보이지 않았다""고 말했다. 지난 시즌... "
"[와글와글] 손흥민에 '눈 찢은' 첼시 팬, 경기장 무기한 출입 금지","잉글랜드 프리미어리그 구단 첼시가 손흥민 선수를 향해 인종차별적인 행위를 한 팬에 대해 철퇴를 내렸습니다. 지난 15일, 첼시 원정에 나선 손흥민 선수. 코너킥을 위해 이동하자 상의 탈의한 한 남성이 양쪽 눈을 옆으로... "
내년 '손흥민 축구대회' 규모·예산 확 늘린다,"춘천시가 내년에도 '손흥민 국제 유소년 친선 축구대회'를 개최하기로 하고 관련 예산과 규모를 두 배 이상으로 확대하는 방안을 검토, 손흥민의 고향 춘천이 다시 한 번 축구의 도시로 발돋움 할 전망이다. 22일 본지... "
"코리언 더비는 불발…손흥민은 침묵 속 교체 아웃, 황희찬은 교체 출전",잉글랜드 프리미어리그(EPL) 득점왕 손흥민(토트넘)이 시즌 첫 골을 기록하지 못한 채 교체되는 아쉬움을... 그럼에도 불구하고 손흥민이 지난 시즌과 같은 골 사냥을 시작하지 못한 것은 아쉬운 대목이다. 이날 측면... 
‘관중 손흥민에 인종차별’...서경덕 교수 EPL 구단들에 항의 메일,"서 교수 ""손흥민 뿐만이 아니라 아시아인 전체 모독 행위” 비판 ‘한국 알리미’로 잘 알려진 서경덕(사진) 성신여대 교수는 잉글랜드 프리미어리그(EPL)의 손흥민 선수가 경기 중 또다시 인종차별의 피해를 입었다며... "
"""손흥민은 월드클래스, 득점행진 재시작 할 것""…토트넘 우승 멤버 신뢰",토트넘의 마지막 우승 주역 중 한명이었던 오하라(잉글랜드)가 손흥민이 골 침묵에서 벗어날 것이라는 기대감을 드러냈다. 오하라는 22일(한국시간) 영국 토크스포츠를 통해 올 시즌 초반 손흥민의 활약에 대한 생각을... 
"손흥민에 인종차별한 첼시 팬, 무기한 경기장 출입금지",손흥민(30·토트넘)에 인종차별을 한 잉글랜드 프로축구 프리미어리그(EPL) 첼시 팬이 무기한 경기장 출입금지... 손흥민은 지난 15일 영국 런던의 스탬포드 브리지에서 열린 첼시와의 경기 도중 관중석의 한 첼시... 
"첼시, 토트넘전 손흥민 향한 인종차별 행위 조사","잉글랜드 프로축구에서 손흥민을 향한 인종차별 논란이 다시 불거졌습니다. 영국 매체들은 손흥민이 ""지난 14일 첼시와의 경기에서 코너킥을 차려던 순간 첼시 홈팬들에게 인종차별 행위를 당했다""고 보도했습니다.... "
'EPL 득점왕이 포지션 경쟁?'…英언론 '히샬리송 선발 출격→손흥민 희생',"손흥민은 3경기에 출전해 1어시스트를 기록 중인 가운데 케인은 3경기에서 2골을 터트렸다. 쿨루셉스키는... 토트넘의 콘테 감독은 올 시즌 초반 손흥민, 케인, 쿨루셉스키 스리톱의 선발 출전을 고수하고 있는 가운데... "
카메라에 딱 찍힌 눈 찢은 첼시팬... 손흥민 또 인종차별 당했다,"잉글랜드 프리미어리그(EPL) 경기 중 한 해외 팬이 손흥민 선수(30·토트넘)를 향해 인종차별적 행위를 한... 문제가 된 장면은 이날 치러진 경기 후반, 손흥민이 코너킥을 차러 갔을 때 발생했다. 코너 앞 관중석에 있던 한... "
"英 매체, ""손흥민 3G 무득점, 걱정 없지만 조금 더 노력해야""",손흥민의 무득점 행진이 이어지자 영국 현지에서 우려섞인 반응을 보였다. 국내 팬들이 바라던 장면이 아니다. 2021-22시즌 잉글리시 프리미어리그(EPL) 득점왕 손흥민이 3경기 연속 골을 넣지 못하고 있다. 사우샘프턴과의... 
"EPL 첼시, 손흥민에 인종차별한 팬에게 무기한 출입금지 징계",잉글랜드 프로축구(EPL) 첼시가 손흥민을 향해 인종차별 행위를 한 팬에게 무기한 경기장 출입 금지 징계를... 손흥민이 코너킥을 차기 위해 이동할 때 관중석에서 상의를 탈의한 한 남성이 눈을 옆으로 찢는 동작을 했다.... 
"손흥민, EPL 유효슈팅 비율 1위","춘천 출신 손흥민(30·토트넘)이 잉글랜드 프리미어리그(EPL) 골잡이들 중 골문으로 향하는 슈팅 비율이... 해당 명단에는 손흥민과 함께 EPL을 대표하는 공격수들인 해리케인(토트넘), 무함마드 살라흐, 디오구 조타... "
"손흥민 향해 '눈 찢은' 관객...서경덕 ""아시아인 전체 모독 행위""",잉글랜드 프리미어리그(EPL) 토트넘 홋스퍼에서 뛰는 손흥민 선수를 향한 인종차별 행위에 대해 서경덕... “이건 손흥민뿐만 아니라 아시아인 전체를 모독하는 행위다. 첼시 구단과 EPL 사무국은 철저한 진상 규명을... 
"손흥민, 주장 요리스와 경기 중 또 다시 언쟁…왜?",지난 시즌 잉글랜드 프리미어리그(EPL) 득점왕 손흥민(토트넘)과 토트넘 위고 요리스 골키퍼가 수비 가담 문제를 놓고 언쟁을 벌인 것으로 전해졌다. 영국 축구 매체 ‘풋볼 런던’은 21일(한국시각) “손흥민과 요리스가... 
'한 성질 하는 손흥민을 건들지 말라'...아군 적군 가리지 않아,ㅎ 장면 1 지난 7월 16일 수원월드컵경기장에서 열린 세비야(스페인)와의 쿠팡플레이 시리즈 2차전 경기에서 손흥민은 전반 종료 후 세비야의 곤살로 몬티엘과 충돌했다. 몬티엘이 몸싸움 과정에서 손흥민의 팔에 얼굴을... 
"손흥민, 주장 요리스와 경기 중 언쟁…2020년에도 한 차례 충돌","잉글랜드 프로축구 프리미어리그 토트넘에서 뛰는 손흥민(30)이 팀의 주장이자 주전 골키퍼인 위고 요리스(36·프랑스)와 경기 도중 언쟁을 벌였다. 영국 축구 전문 매체 풋볼 런던은 21일 ""손흥민과 요리스가 전날 열린... "
"UCL 위너의 극찬, ""손흥민 무득점? 맨시티-리버풀에서도 주전!""",훗스퍼의 손흥민을 향해 극찬을 보냈다. 비록 개막 후 3경기 째 득점을 올리지 못하고 있지만 여전히 세계 최고 수준의 선수라는 것이 하그리브스의 설명이다. 손흥민이 리그 개막 후 3경기 째 침묵하고 있다. 토트넘은... 
"EPL 첼시, 손흥민에 인종 차별한 팬에게 무기한 출입금지 징계",잉글랜드 프로축구 프리미어리그 구단 첼시가 경기 도중 손흥민(30)에 대해 인종 차별을 한 팬에게 무기한... 15일 영국 런던의 스탬퍼드 브리지에서 열린 첼시와 토트넘의 경기 도중 토트넘의 손흥민은 첼시 홈 팬으로부터... 
"[오피셜] 손흥민 인종차별 가해자, 최고 수위 징계...구장 영구 출입 금지","영국 '디 애슬래틱'은 18일 ""첼시는 토트넘과 무승부를 거뒀던 경기에서 손흥민을 향한 인종차별적인 행동에 대해서 인지하고, 조사를 진행하고 있다. 해당 사건은 손흥민이 후반전에 코너킥을 차러 이동하던 도중 발생했다... "
"BBC, EPL 3R ‘베스트11’ 발표 …무득점 손흥민은 이번에도","유나이티드), 윌리엄 살리바(아스널), 키어런 트리피어(뉴캐슬)가 3백을 구축했으며. 골문은 로베르트 산체스(브라이튼)가 지켰다. 한편 3경기 연속 무득점인 손흥민은 이번 시즌 이주의 팀에 아직 이름을 올리지 못 했다."
"손흥민, 주장 요리스와 또 언쟁, 일부 팬들 ""손흥민 게을러져""","출신 손흥민(30. 토트넘 훗스퍼)이 또다시 팀의 주장이자 주전 골키퍼인 위고 요리스(36)와 경기 도중 언쟁을 벌인 사실이 알려졌다. 영국 축구 전문 매체 풋볼 런던은 21일(현지시간) ""손흥민과 요리스가 전날 열린... "
"첼시 ""손흥민 인종차별한 팬, 경기장 출입 무기한 금지""",잉글랜드 프리미어리그(EPL) 첼시가 손흥민(토트넘 홋스퍼)에게 인종차별적 행위를 한 팬에 대해 '경기장... 당시 손흥민이 코너킥을 차기 위해 첼시 팬들 앞으로 이동할 때 일부 첼시 팬이 눈을 찢는 등 인종차별 행위를... 
"손흥민 '인종차별' 첼시 팬, 평생 직관 못한다...영구 '출입금지'",사진=픽사베이 축구선수 손흥민에게 인종차별적 행위를 한 축구팬이 다시는 축구장을 찾지 못하게 됐다.... 이동한 손흥민을 향해 눈을 옆으로 찢는 동양인 비하 행위를 한 것이 중계화면에 포착됐다. 한편 손흥민은... 
"""EPL 첼시, 토트넘전 손흥민 노린 인종차별 행위 조사""",잉글랜드 프로축구 프리미어리그(EPL) 첼시가 토트넘전에서 손흥민(30)을 향한 인종차별이 이뤄졌을... 이 매체는 지난 14일 영국 런던의 스탬퍼드 브리지에서 열린 2022-2023 EPL 2라운드 첼시와 토트넘의 경기 후반 손흥민... 
"손흥민 인종차별 첼시 팬 영구 출입금지에 서경덕 ""좋은 선례""","손흥민 선수에 대한 인종차별 사건에 대해 첼시 구단이 해당 팬을 영구 출입 금지 조치한 것과 관련, 서경덕... 그는 지난해 4월 맨체스터 유나이티드 팬들이 손흥민 인종차별 트윗을 올려 경찰이 수사해 12명에게 사과... "
"골대에 날아간 손흥민의 첫 골…토트넘, 울버햄프턴 격파","손흥민(30, 토트넘 홋스퍼)의 첫 골이 골대에 날아갔다. 손흥민은 20일(한국시간) 영국 런던 토트넘 홋스퍼 스타디움에서 열린 2022-2023시즌 잉글랜드 프리미어리그 3라운드 울버햄프턴 원더러스와 홈 경기에 선발 출전해... "
"손흥민 결승골 관여 · 황희찬 교체 출전…토트넘, 울버햄튼에 1대 0 승리","잉글랜드 프로축구 프리미어리그에서 손흥민의 토트넘이 황희찬이 버티는 울버햄튼을 꺾고 개막 이후 3경기... 손흥민은 왼쪽 공격수로 선발출전해 날카로운 코너킥으로 케인의 결승골에 관여했지만, 공격 포인트를... "
